Neighborhood,ZIP Code,Number of Households,Population,Median Household Income (USD)
Downtown / South Main Arts District / South Bluffs,38103,8020,11816,75763
Lakeland / Arlington / Brunswick,38002,15152,43688,115478
Collierville / Piperton,38017,19969,56225,135946
"Cordova, Zipcode 1",38016,18365,44274,75719
"Cordova, Zipcode 2",38018,14215,37996,89627
Hickory Withe,38028,2709,7699,150847
Oakland,38060,4903,12360,84277
Rossville,38066,1450,3706,105282
East Midtown / Central Gardens / Cooper Young,38104,12946,22121,56452
Uptown / Pinch District,38105,3241,4961,29316
South Memphis,38106,9126,21702,29818
North Memphis / Snowden / New Chicago,38107,6659,14001,36393
Hollywood / Hyde Park / Nutbush,38108,6569,18425,35435
Coro Lake / White Haven,38109,16706,43639,36934
East Memphis – Colonial Yorkshire,38111,17866,42061,52806
Midtown / Evergreen / Overton Square,38112,6554,15107,52639
East Memphis,38117,11393,26258,93688
Windyke / Southwind,38125,15549,42732,83184
South Forum / Washington Heights,38126,2698,5456,30825
Frayser,38127,14183,39404,37768
Egypt / Raleigh,38128,16131,43701,43166
"Bartlett, Zipcode 1",38133,8047,20900,82485
"Bartlett, Zipcode 2",38134,14698,38849,61172
"Bartlett, Zipcode 3",38135,10925,30284,92458
"Germantown, Zipcode 1",38138,10232,25171,130125
"Germantown, Zipcode 2",38139,5780,16298,174052
South Riverdale,38141,8030,23768,64050
